,Heading,Sub_Heading,Closing,Notice_status,Contract_location,Contract_value,Publication_date,Procurement_stage,Approach_to_market_date
1144,CA10921 - The Ferrars Academy,The Ferrars Academy,2022-11-21 12:00:00,Open,LU4 0LL,0.0,2022-08-10 00:00:00,Opportunity,
1145,Cambridgeshire County Council Early Years Market Position Statement,LGSS,2023-03-31 00:00:00,Open,East of England,,2022-03-29 00:00:00,Early engagement,
1146,FCA Service Desk and End User Compute (EUC) Services,Financial Conduct Authority,2023-06-30 00:00:00,Open,Any region,105000000.0,2022-08-09 00:00:00,Opportunity,
1147,Tourniquet,NHS Supply Chain,,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",18180000.0,2022-08-08 00:00:00,Future opportunity,2023-03-14 00:00:00
1148,Expression of Interest - CIRAS Reporting App,BIP SOLUTIONS LIMITED,2022-11-14 00:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",0.0,2022-08-05 00:00:00,Opportunity,
1149,Centre for Advancing Practice Portal Development 23-28,HEE,2023-03-31 12:00:00,Open,United Kingdom,330000.005,2022-08-04 00:00:00,Opportunity,
1150,Postal Services & Solutions,Crown Commercial Service,,Open,United Kingdom,1600000000.0,2022-08-04 00:00:00,Future opportunity,2023-02-22 00:00:00
1151,North Forest District Planting and Forest Management DPS,Forestry England,2030-08-02 12:00:00,Open,Any region,10000000.0,2022-08-03 00:00:00,Opportunity,
1152,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2022-03-17 00:00:00,Future opportunity,2025-02-01 00:00:00
1153,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2021-09-14 00:00:00,Future opportunity,2023-08-01 00:00:00
1154,Fresh Food DPS,NHS Supply Chain,2029-02-28 15:00:00,Open,Any region,200000000.0,2022-08-02 00:00:00,Opportunity,
1155,The Micromobility Market and London's Micromobility Future,Transport for London,,Open,England,0.0,2022-08-01 00:00:00,Future opportunity,2025-04-01 00:00:00
1156,DPS - Dynamic Supplier List: Asset Solutions,EASTERN PROCUREMENT LIMITED,2025-11-29 12:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",210000000.0,2019-04-18 00:00:00,Opportunity,
1157,628_23 Security and Surveillance Equipment and Services,Espo,,Open,United Kingdom,100000000.0,2022-07-29 00:00:00,Future opportunity,2023-01-06 00:00:00
1158,Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,,Open,Rest of the World,500000.0,2022-07-27 00:00:00,Future opportunity,2025-06-02 00:00:00
1159,Mobile Telephony Services,Croydon Council,,Open,England,100000.0,2022-07-27 00:00:00,Future opportunity,2024-08-01 00:00:00
1160,Wiltshire Council Passenger Transport  DPS Sept 2017,Wiltshire Council,2022-11-30 00:00:00,Open,England,110000000.0,2019-09-18 00:00:00,Opportunity,
1161,London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),L&Q Construction,2024-12-23 18:00:00,Open,E15 4PH,0.0,2020-12-23 00:00:00,Opportunity,
1162,Support to Live at Home (STLAH) Framework,Barnsley Metropolitan Borough Council,2027-06-30 12:00:00,Open,Yorkshire and the Humber,30152152.5,2022-08-10 00:00:00,Opportunity,
1163,PLACE060 Ad Hoc Taxi Provisions Soft Market Engagement,Derbyshire County Council,2022-11-10 00:00:00,Open,England,,2022-08-10 00:00:00,Early engagement,
1164,CA10921 - The Ferrars Academy,The Ferrars Academy,2022-11-21 12:00:00,Open,LU4 0LL,0.0,2022-08-10 00:00:00,Opportunity,
1165,Cambridgeshire County Council Early Years Market Position Statement,LGSS,2023-03-31 00:00:00,Open,East of England,,2022-03-29 00:00:00,Early engagement,
1166,FCA Service Desk and End User Compute (EUC) Services,Financial Conduct Authority,2023-06-30 00:00:00,Open,Any region,105000000.0,2022-08-09 00:00:00,Opportunity,
1167,Tourniquet,NHS Supply Chain,,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",18180000.0,2022-08-08 00:00:00,Future opportunity,2023-03-14 00:00:00
1168,Expression of Interest - CIRAS Reporting App,BIP SOLUTIONS LIMITED,2022-11-14 00:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",0.0,2022-08-05 00:00:00,Opportunity,
1169,Centre for Advancing Practice Portal Development 23-28,HEE,2023-03-31 12:00:00,Open,United Kingdom,330000.005,2022-08-04 00:00:00,Opportunity,
1170,Postal Services & Solutions,Crown Commercial Service,,Open,United Kingdom,1600000000.0,2022-08-04 00:00:00,Future opportunity,2023-02-22 00:00:00
1171,North Forest District Planting and Forest Management DPS,Forestry England,2030-08-02 12:00:00,Open,Any region,10000000.0,2022-08-03 00:00:00,Opportunity,
1172,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2022-03-17 00:00:00,Future opportunity,2025-02-01 00:00:00
1173,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2021-09-14 00:00:00,Future opportunity,2023-08-01 00:00:00
1174,Fresh Food DPS,NHS Supply Chain,2029-02-28 15:00:00,Open,Any region,200000000.0,2022-08-02 00:00:00,Opportunity,
1175,The Micromobility Market and London's Micromobility Future,Transport for London,,Open,England,0.0,2022-08-01 00:00:00,Future opportunity,2025-04-01 00:00:00
1176,DPS - Dynamic Supplier List: Asset Solutions,EASTERN PROCUREMENT LIMITED,2025-11-29 12:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",210000000.0,2019-04-18 00:00:00,Opportunity,
1177,628_23 Security and Surveillance Equipment and Services,Espo,,Open,United Kingdom,100000000.0,2022-07-29 00:00:00,Future opportunity,2023-01-06 00:00:00
1178,Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,,Open,Rest of the World,500000.0,2022-07-27 00:00:00,Future opportunity,2025-06-02 00:00:00
1179,Mobile Telephony Services,Croydon Council,,Open,England,100000.0,2022-07-27 00:00:00,Future opportunity,2024-08-01 00:00:00
1180,Wiltshire Council Passenger Transport  DPS Sept 2017,Wiltshire Council,2022-11-30 00:00:00,Open,England,110000000.0,2019-09-18 00:00:00,Opportunity,
1181,London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),L&Q Construction,2024-12-23 18:00:00,Open,E15 4PH,0.0,2020-12-23 00:00:00,Opportunity,
1182,Support to Live at Home (STLAH) Framework,Barnsley Metropolitan Borough Council,2027-06-30 12:00:00,Open,Yorkshire and the Humber,30152152.5,2022-08-10 00:00:00,Opportunity,
1183,PLACE060 Ad Hoc Taxi Provisions Soft Market Engagement,Derbyshire County Council,2022-11-10 00:00:00,Open,England,,2022-08-10 00:00:00,Early engagement,
1184,CA10921 - The Ferrars Academy,The Ferrars Academy,2022-11-21 12:00:00,Open,LU4 0LL,0.0,2022-08-10 00:00:00,Opportunity,
1185,Cambridgeshire County Council Early Years Market Position Statement,LGSS,2023-03-31 00:00:00,Open,East of England,,2022-03-29 00:00:00,Early engagement,
1186,FCA Service Desk and End User Compute (EUC) Services,Financial Conduct Authority,2023-06-30 00:00:00,Open,Any region,105000000.0,2022-08-09 00:00:00,Opportunity,
1187,Tourniquet,NHS Supply Chain,,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",18180000.0,2022-08-08 00:00:00,Future opportunity,2023-03-14 00:00:00
1188,Expression of Interest - CIRAS Reporting App,BIP SOLUTIONS LIMITED,2022-11-14 00:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",0.0,2022-08-05 00:00:00,Opportunity,
1189,Centre for Advancing Practice Portal Development 23-28,HEE,2023-03-31 12:00:00,Open,United Kingdom,330000.005,2022-08-04 00:00:00,Opportunity,
1190,Postal Services & Solutions,Crown Commercial Service,,Open,United Kingdom,1600000000.0,2022-08-04 00:00:00,Future opportunity,2023-02-22 00:00:00
1191,North Forest District Planting and Forest Management DPS,Forestry England,2030-08-02 12:00:00,Open,Any region,10000000.0,2022-08-03 00:00:00,Opportunity,
1192,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2022-03-17 00:00:00,Future opportunity,2025-02-01 00:00:00
1193,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2021-09-14 00:00:00,Future opportunity,2023-08-01 00:00:00
1194,Fresh Food DPS,NHS Supply Chain,2029-02-28 15:00:00,Open,Any region,200000000.0,2022-08-02 00:00:00,Opportunity,
1195,The Micromobility Market and London's Micromobility Future,Transport for London,,Open,England,0.0,2022-08-01 00:00:00,Future opportunity,2025-04-01 00:00:00
1196,DPS - Dynamic Supplier List: Asset Solutions,EASTERN PROCUREMENT LIMITED,2025-11-29 12:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",210000000.0,2019-04-18 00:00:00,Opportunity,
1197,628_23 Security and Surveillance Equipment and Services,Espo,,Open,United Kingdom,100000000.0,2022-07-29 00:00:00,Future opportunity,2023-01-06 00:00:00
1198,Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,,Open,Rest of the World,500000.0,2022-07-27 00:00:00,Future opportunity,2025-06-02 00:00:00
1199,Mobile Telephony Services,Croydon Council,,Open,England,100000.0,2022-07-27 00:00:00,Future opportunity,2024-08-01 00:00:00
1200,Wiltshire Council Passenger Transport  DPS Sept 2017,Wiltshire Council,2022-11-30 00:00:00,Open,England,110000000.0,2019-09-18 00:00:00,Opportunity,
1201,London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),L&Q Construction,2024-12-23 18:00:00,Open,E15 4PH,0.0,2020-12-23 00:00:00,Opportunity,
1202,Support to Live at Home (STLAH) Framework,Barnsley Metropolitan Borough Council,2027-06-30 12:00:00,Open,Yorkshire and the Humber,30152152.5,2022-08-10 00:00:00,Opportunity,
1203,PLACE060 Ad Hoc Taxi Provisions Soft Market Engagement,Derbyshire County Council,2022-11-10 00:00:00,Open,England,,2022-08-10 00:00:00,Early engagement,
1204,CA10921 - The Ferrars Academy,The Ferrars Academy,2022-11-21 12:00:00,Open,LU4 0LL,0.0,2022-08-10 00:00:00,Opportunity,
1205,Cambridgeshire County Council Early Years Market Position Statement,LGSS,2023-03-31 00:00:00,Open,East of England,,2022-03-29 00:00:00,Early engagement,
1206,FCA Service Desk and End User Compute (EUC) Services,Financial Conduct Authority,2023-06-30 00:00:00,Open,Any region,105000000.0,2022-08-09 00:00:00,Opportunity,
1207,Tourniquet,NHS Supply Chain,,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",18180000.0,2022-08-08 00:00:00,Future opportunity,2023-03-14 00:00:00
1208,Expression of Interest - CIRAS Reporting App,BIP SOLUTIONS LIMITED,2022-11-14 00:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",0.0,2022-08-05 00:00:00,Opportunity,
1209,Centre for Advancing Practice Portal Development 23-28,HEE,2023-03-31 12:00:00,Open,United Kingdom,330000.005,2022-08-04 00:00:00,Opportunity,
1210,Postal Services & Solutions,Crown Commercial Service,,Open,United Kingdom,1600000000.0,2022-08-04 00:00:00,Future opportunity,2023-02-22 00:00:00
1211,North Forest District Planting and Forest Management DPS,Forestry England,2030-08-02 12:00:00,Open,Any region,10000000.0,2022-08-03 00:00:00,Opportunity,
1212,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2022-03-17 00:00:00,Future opportunity,2025-02-01 00:00:00
1213,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2021-09-14 00:00:00,Future opportunity,2023-08-01 00:00:00
1214,Fresh Food DPS,NHS Supply Chain,2029-02-28 15:00:00,Open,Any region,200000000.0,2022-08-02 00:00:00,Opportunity,
1215,The Micromobility Market and London's Micromobility Future,Transport for London,,Open,England,0.0,2022-08-01 00:00:00,Future opportunity,2025-04-01 00:00:00
1216,DPS - Dynamic Supplier List: Asset Solutions,EASTERN PROCUREMENT LIMITED,2025-11-29 12:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",210000000.0,2019-04-18 00:00:00,Opportunity,
1217,628_23 Security and Surveillance Equipment and Services,Espo,,Open,United Kingdom,100000000.0,2022-07-29 00:00:00,Future opportunity,2023-01-06 00:00:00
1218,Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,,Open,Rest of the World,500000.0,2022-07-27 00:00:00,Future opportunity,2025-06-02 00:00:00
1219,Mobile Telephony Services,Croydon Council,,Open,England,100000.0,2022-07-27 00:00:00,Future opportunity,2024-08-01 00:00:00
1220,Wiltshire Council Passenger Transport  DPS Sept 2017,Wiltshire Council,2022-11-30 00:00:00,Open,England,110000000.0,2019-09-18 00:00:00,Opportunity,
1221,London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),L&Q Construction,2024-12-23 18:00:00,Open,E15 4PH,0.0,2020-12-23 00:00:00,Opportunity,
1222,Support to Live at Home (STLAH) Framework,Barnsley Metropolitan Borough Council,2027-06-30 12:00:00,Open,Yorkshire and the Humber,30152152.5,2022-08-10 00:00:00,Opportunity,
1223,PLACE060 Ad Hoc Taxi Provisions Soft Market Engagement,Derbyshire County Council,2022-11-10 00:00:00,Open,England,,2022-08-10 00:00:00,Early engagement,
1224,CA10921 - The Ferrars Academy,The Ferrars Academy,2022-11-21 12:00:00,Open,LU4 0LL,0.0,2022-08-10 00:00:00,Opportunity,
1225,Cambridgeshire County Council Early Years Market Position Statement,LGSS,2023-03-31 00:00:00,Open,East of England,,2022-03-29 00:00:00,Early engagement,
1226,FCA Service Desk and End User Compute (EUC) Services,Financial Conduct Authority,2023-06-30 00:00:00,Open,Any region,105000000.0,2022-08-09 00:00:00,Opportunity,
1227,Tourniquet,NHS Supply Chain,,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",18180000.0,2022-08-08 00:00:00,Future opportunity,2023-03-14 00:00:00
1228,Expression of Interest - CIRAS Reporting App,BIP SOLUTIONS LIMITED,2022-11-14 00:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",0.0,2022-08-05 00:00:00,Opportunity,
1229,Centre for Advancing Practice Portal Development 23-28,HEE,2023-03-31 12:00:00,Open,United Kingdom,330000.005,2022-08-04 00:00:00,Opportunity,
1230,Postal Services & Solutions,Crown Commercial Service,,Open,United Kingdom,1600000000.0,2022-08-04 00:00:00,Future opportunity,2023-02-22 00:00:00
1231,North Forest District Planting and Forest Management DPS,Forestry England,2030-08-02 12:00:00,Open,Any region,10000000.0,2022-08-03 00:00:00,Opportunity,
1232,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2022-03-17 00:00:00,Future opportunity,2025-02-01 00:00:00
1233,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2021-09-14 00:00:00,Future opportunity,2023-08-01 00:00:00
1234,Fresh Food DPS,NHS Supply Chain,2029-02-28 15:00:00,Open,Any region,200000000.0,2022-08-02 00:00:00,Opportunity,
1235,The Micromobility Market and London's Micromobility Future,Transport for London,,Open,England,0.0,2022-08-01 00:00:00,Future opportunity,2025-04-01 00:00:00
1236,DPS - Dynamic Supplier List: Asset Solutions,EASTERN PROCUREMENT LIMITED,2025-11-29 12:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",210000000.0,2019-04-18 00:00:00,Opportunity,
1237,628_23 Security and Surveillance Equipment and Services,Espo,,Open,United Kingdom,100000000.0,2022-07-29 00:00:00,Future opportunity,2023-01-06 00:00:00
1238,Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,,Open,Rest of the World,500000.0,2022-07-27 00:00:00,Future opportunity,2025-06-02 00:00:00
1239,Mobile Telephony Services,Croydon Council,,Open,England,100000.0,2022-07-27 00:00:00,Future opportunity,2024-08-01 00:00:00
1240,Wiltshire Council Passenger Transport  DPS Sept 2017,Wiltshire Council,2022-11-30 00:00:00,Open,England,110000000.0,2019-09-18 00:00:00,Opportunity,
1241,London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),L&Q Construction,2024-12-23 18:00:00,Open,E15 4PH,0.0,2020-12-23 00:00:00,Opportunity,
1242,Support to Live at Home (STLAH) Framework,Barnsley Metropolitan Borough Council,2027-06-30 12:00:00,Open,Yorkshire and the Humber,30152152.5,2022-08-10 00:00:00,Opportunity,
1243,PLACE060 Ad Hoc Taxi Provisions Soft Market Engagement,Derbyshire County Council,2022-11-10 00:00:00,Open,England,,2022-08-10 00:00:00,Early engagement,
1244,CA10921 - The Ferrars Academy,The Ferrars Academy,2022-11-21 12:00:00,Open,LU4 0LL,0.0,2022-08-10 00:00:00,Opportunity,
1245,Cambridgeshire County Council Early Years Market Position Statement,LGSS,2023-03-31 00:00:00,Open,East of England,,2022-03-29 00:00:00,Early engagement,
1246,FCA Service Desk and End User Compute (EUC) Services,Financial Conduct Authority,2023-06-30 00:00:00,Open,Any region,105000000.0,2022-08-09 00:00:00,Opportunity,
1247,Tourniquet,NHS Supply Chain,,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",18180000.0,2022-08-08 00:00:00,Future opportunity,2023-03-14 00:00:00
1248,Expression of Interest - CIRAS Reporting App,BIP SOLUTIONS LIMITED,2022-11-14 00:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",0.0,2022-08-05 00:00:00,Opportunity,
1249,Centre for Advancing Practice Portal Development 23-28,HEE,2023-03-31 12:00:00,Open,United Kingdom,330000.005,2022-08-04 00:00:00,Opportunity,
1250,Postal Services & Solutions,Crown Commercial Service,,Open,United Kingdom,1600000000.0,2022-08-04 00:00:00,Future opportunity,2023-02-22 00:00:00
1251,North Forest District Planting and Forest Management DPS,Forestry England,2030-08-02 12:00:00,Open,Any region,10000000.0,2022-08-03 00:00:00,Opportunity,
1252,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2022-03-17 00:00:00,Future opportunity,2025-02-01 00:00:00
1253,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2021-09-14 00:00:00,Future opportunity,2023-08-01 00:00:00
1254,Fresh Food DPS,NHS Supply Chain,2029-02-28 15:00:00,Open,Any region,200000000.0,2022-08-02 00:00:00,Opportunity,
1255,The Micromobility Market and London's Micromobility Future,Transport for London,,Open,England,0.0,2022-08-01 00:00:00,Future opportunity,2025-04-01 00:00:00
1256,DPS - Dynamic Supplier List: Asset Solutions,EASTERN PROCUREMENT LIMITED,2025-11-29 12:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",210000000.0,2019-04-18 00:00:00,Opportunity,
1257,628_23 Security and Surveillance Equipment and Services,Espo,,Open,United Kingdom,100000000.0,2022-07-29 00:00:00,Future opportunity,2023-01-06 00:00:00
1258,Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,,Open,Rest of the World,500000.0,2022-07-27 00:00:00,Future opportunity,2025-06-02 00:00:00
1259,Mobile Telephony Services,Croydon Council,,Open,England,100000.0,2022-07-27 00:00:00,Future opportunity,2024-08-01 00:00:00
1260,Wiltshire Council Passenger Transport  DPS Sept 2017,Wiltshire Council,2022-11-30 00:00:00,Open,England,110000000.0,2019-09-18 00:00:00,Opportunity,
1261,London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),L&Q Construction,2024-12-23 18:00:00,Open,E15 4PH,0.0,2020-12-23 00:00:00,Opportunity,
1262,Support to Live at Home (STLAH) Framework,Barnsley Metropolitan Borough Council,2027-06-30 12:00:00,Open,Yorkshire and the Humber,30152152.5,2022-08-10 00:00:00,Opportunity,
1263,PLACE060 Ad Hoc Taxi Provisions Soft Market Engagement,Derbyshire County Council,2022-11-10 00:00:00,Open,England,,2022-08-10 00:00:00,Early engagement,
1264,CA10921 - The Ferrars Academy,The Ferrars Academy,2022-11-21 12:00:00,Open,LU4 0LL,0.0,2022-08-10 00:00:00,Opportunity,
1265,Cambridgeshire County Council Early Years Market Position Statement,LGSS,2023-03-31 00:00:00,Open,East of England,,2022-03-29 00:00:00,Early engagement,
1266,FCA Service Desk and End User Compute (EUC) Services,Financial Conduct Authority,2023-06-30 00:00:00,Open,Any region,105000000.0,2022-08-09 00:00:00,Opportunity,
1267,Tourniquet,NHS Supply Chain,,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",18180000.0,2022-08-08 00:00:00,Future opportunity,2023-03-14 00:00:00
1268,Expression of Interest - CIRAS Reporting App,BIP SOLUTIONS LIMITED,2022-11-14 00:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",0.0,2022-08-05 00:00:00,Opportunity,
1269,Centre for Advancing Practice Portal Development 23-28,HEE,2023-03-31 12:00:00,Open,United Kingdom,330000.005,2022-08-04 00:00:00,Opportunity,
1270,Postal Services & Solutions,Crown Commercial Service,,Open,United Kingdom,1600000000.0,2022-08-04 00:00:00,Future opportunity,2023-02-22 00:00:00
1271,North Forest District Planting and Forest Management DPS,Forestry England,2030-08-02 12:00:00,Open,Any region,10000000.0,2022-08-03 00:00:00,Opportunity,
1272,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2022-03-17 00:00:00,Future opportunity,2025-02-01 00:00:00
1273,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2021-09-14 00:00:00,Future opportunity,2023-08-01 00:00:00
1274,Fresh Food DPS,NHS Supply Chain,2029-02-28 15:00:00,Open,Any region,200000000.0,2022-08-02 00:00:00,Opportunity,
1275,The Micromobility Market and London's Micromobility Future,Transport for London,,Open,England,0.0,2022-08-01 00:00:00,Future opportunity,2025-04-01 00:00:00
1276,DPS - Dynamic Supplier List: Asset Solutions,EASTERN PROCUREMENT LIMITED,2025-11-29 12:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",210000000.0,2019-04-18 00:00:00,Opportunity,
1277,628_23 Security and Surveillance Equipment and Services,Espo,,Open,United Kingdom,100000000.0,2022-07-29 00:00:00,Future opportunity,2023-01-06 00:00:00
1278,Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,,Open,Rest of the World,500000.0,2022-07-27 00:00:00,Future opportunity,2025-06-02 00:00:00
1279,Mobile Telephony Services,Croydon Council,,Open,England,100000.0,2022-07-27 00:00:00,Future opportunity,2024-08-01 00:00:00
1280,Wiltshire Council Passenger Transport  DPS Sept 2017,Wiltshire Council,2022-11-30 00:00:00,Open,England,110000000.0,2019-09-18 00:00:00,Opportunity,
1281,London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),L&Q Construction,2024-12-23 18:00:00,Open,E15 4PH,0.0,2020-12-23 00:00:00,Opportunity,
1282,Support to Live at Home (STLAH) Framework,Barnsley Metropolitan Borough Council,2027-06-30 12:00:00,Open,Yorkshire and the Humber,30152152.5,2022-08-10 00:00:00,Opportunity,
1283,PLACE060 Ad Hoc Taxi Provisions Soft Market Engagement,Derbyshire County Council,2022-11-10 00:00:00,Open,England,,2022-08-10 00:00:00,Early engagement,
1284,CA10921 - The Ferrars Academy,The Ferrars Academy,2022-11-21 12:00:00,Open,LU4 0LL,0.0,2022-08-10 00:00:00,Opportunity,
1285,Cambridgeshire County Council Early Years Market Position Statement,LGSS,2023-03-31 00:00:00,Open,East of England,,2022-03-29 00:00:00,Early engagement,
1286,FCA Service Desk and End User Compute (EUC) Services,Financial Conduct Authority,2023-06-30 00:00:00,Open,Any region,105000000.0,2022-08-09 00:00:00,Opportunity,
1287,Tourniquet,NHS Supply Chain,,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",18180000.0,2022-08-08 00:00:00,Future opportunity,2023-03-14 00:00:00
1288,Expression of Interest - CIRAS Reporting App,BIP SOLUTIONS LIMITED,2022-11-14 00:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",0.0,2022-08-05 00:00:00,Opportunity,
1289,Centre for Advancing Practice Portal Development 23-28,HEE,2023-03-31 12:00:00,Open,United Kingdom,330000.005,2022-08-04 00:00:00,Opportunity,
1290,Postal Services & Solutions,Crown Commercial Service,,Open,United Kingdom,1600000000.0,2022-08-04 00:00:00,Future opportunity,2023-02-22 00:00:00
1291,North Forest District Planting and Forest Management DPS,Forestry England,2030-08-02 12:00:00,Open,Any region,10000000.0,2022-08-03 00:00:00,Opportunity,
1292,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2022-03-17 00:00:00,Future opportunity,2025-02-01 00:00:00
1293,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2021-09-14 00:00:00,Future opportunity,2023-08-01 00:00:00
1294,Fresh Food DPS,NHS Supply Chain,2029-02-28 15:00:00,Open,Any region,200000000.0,2022-08-02 00:00:00,Opportunity,
1295,The Micromobility Market and London's Micromobility Future,Transport for London,,Open,England,0.0,2022-08-01 00:00:00,Future opportunity,2025-04-01 00:00:00
1296,DPS - Dynamic Supplier List: Asset Solutions,EASTERN PROCUREMENT LIMITED,2025-11-29 12:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",210000000.0,2019-04-18 00:00:00,Opportunity,
1297,628_23 Security and Surveillance Equipment and Services,Espo,,Open,United Kingdom,100000000.0,2022-07-29 00:00:00,Future opportunity,2023-01-06 00:00:00
1298,Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,,Open,Rest of the World,500000.0,2022-07-27 00:00:00,Future opportunity,2025-06-02 00:00:00
